--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
demo_image/00000.jpg     	el                       	0.3186
demo_image/000001.jpg    	intercoment              	0.0001
demo_image/00001.jpg     	q                        	0.3959
demo_image/00002.jpg     	i                        	0.2525
demo_image/000002.jpg    	contanded                	0.0000
demo_image/000003.jpg    	substation               	0.0000
demo_image/00003.jpg     	zz                       	0.2779
demo_image/000004.jpg    	contanting               	0.0000
demo_image/000005.jpg    	i                        	0.1944
demo_image/000006.jpg    	conservent               	0.0000
demo_image/000008.jpg    	substating               	0.0000
demo_image/000009.jpg    	contralizing             	0.0000
demo_image/000010.jpg    	sups                     	0.0025
demo_image/000012.jpg    	alland                   	0.0002
demo_image/000013.jpg    	surestrates              	0.0000
demo_image/000016.jpg    	supporting               	0.0000
demo_image/000017.jpg    	the                      	0.1263
demo_image/000019.jpg    	consupting               	0.0000
demo_image/000025.jpg    	longsound                	0.0000
demo_image/000029.jpg    	consuructions            	0.0000
demo_image/00032.jpg     	g                        	0.5252
demo_image/00033.jpg     	z                        	0.2531
demo_image/00034.jpg     	d                        	0.4862
demo_image/00035.jpg     	e                        	0.5310
demo_image/00036.jpg     	k                        	0.4419
demo_image/000037.jpg    	state                    	0.0005
demo_image/00037.jpg     	d                        	0.1673
demo_image/00038.jpg     	ef                       	0.4788
demo_image/00039.jpg     	g                        	0.7984
demo_image/00040.jpg     	i                        	0.5841
demo_image/00041.jpg     	e                        	0.8109
demo_image/00042.jpg     	i                        	0.2660
demo_image/00043.jpg     	i                        	0.3087
demo_image/00044.jpg     	b                        	0.6687
demo_image/00045.jpg     	9                        	0.4621
demo_image/00046.jpg     	i                        	0.2530
demo_image/00047.jpg     	is                       	0.3455
demo_image/000047.jpg    	ond                      	0.0051
demo_image/00048.jpg     	e                        	0.3569
demo_image/00049.jpg     	b                        	0.8649
demo_image/00050.jpg     	bi                       	0.3997
demo_image/000050.jpg    	ref                      	0.0188
demo_image/00051.jpg     	q                        	0.2841
demo_image/00052.jpg     	z                        	0.7371
demo_image/00053.jpg     	a                        	0.3575
demo_image/00054.jpg     	7                        	0.3183
demo_image/00055.jpg     	8                        	0.5290
demo_image/000064.jpg    	the                      	0.1891
demo_image/000066.jpg    	less                     	0.0099
demo_image/000071.jpg    	the                      	0.1263
demo_image/000075.jpg    	suppersing               	0.0000
demo_image/000077.jpg    	can                      	0.0101
demo_image/000080.jpg    	ond                      	0.0051
demo_image/000089.jpg    	surgent                  	0.0001
demo_image/000104.jpg    	the                      	0.1726
demo_image/000119.jpg    	partent                  	0.0001
demo_image/000125.jpg    	sellating                	0.0000
demo_image/000148.jpg    	vines                    	0.0009
demo_image/000150.jpg    	surgent                  	0.0000
demo_image/000154.jpg    	beling                   	0.0003
demo_image/000167.jpg    	the                      	0.1134
demo_image/000216.jpg    	surgent                  	0.0001
demo_image/000222.jpg    	apraod                   	0.0016
demo_image/000232.jpg    	selled                   	0.0001
demo_image/000259.jpg    	the                      	0.0563
demo_image/000281.jpg    	azara                    	0.0005
demo_image/000356.jpg    	the                      	0.0180
demo_image/000366.jpg    	kind                     	0.0047
demo_image/000376.jpg    	disconding               	0.0002
demo_image/000437.jpg    	saller                   	0.0001
demo_image/000491.jpg    	constracting             	0.0000
demo_image/000521.jpg    	contrologist             	0.0000
demo_image/000534.jpg    	sure                     	0.0006
demo_image/000537.jpg    	trans                    	0.0062
demo_image/000543.jpg    	instation                	0.0001
demo_image/Screenshot from 2020-07-14 17-16-18.png	and                      	0.0076
demo_image/Screenshot from 2020-07-14 17-16-39.png	diso                     	0.1835
demo_image/Screenshot from 2020-07-14 17-16-44.png	dox                      	0.0233
demo_image/Screenshot from 2020-07-14 17-16-57.png	a                        	0.2105
demo_image/Screenshot from 2020-07-14 17-17-17.png	the                      	0.0179
demo_image/Screenshot from 2020-07-14 17-17-50.png	tellesstip               	0.0027
demo_image/Screenshot from 2020-07-14 17-18-17.png	suppers                  	0.0001
demo_image/Screenshot from 2020-07-14 17-24-07.png	proposing                	0.0000
demo_image/Screenshot from 2020-07-14 17-24-19.png	reversing                	0.0000
demo_image/Screenshot from 2020-07-14 17-24-34.png	pesssons                 	0.0000
demo_image/Screenshot from 2020-07-14 17-24-49.png	sellations               	0.0000
demo_image/Screenshot from 2020-07-14 17-24-54.png	trans                    	0.0009
demo_image/Screenshot from 2020-07-14 17-24-59.png	election                 	0.0005
demo_image/Screenshot from 2020-07-14 17-27-52.png	supportaging             	0.0000
demo_image/Screenshot from 2020-07-14 17-27-56.png	supper                   	0.0051
demo_image/Screenshot from 2020-07-14 17-28-06.png	contraction              	0.0001
demo_image/Screenshot from 2020-07-14 17-28-27.png	flath                    	0.0005
demo_image/demo_1.png    	available                	0.9999
demo_image/demo_2.jpg    	shakeshack               	0.9533
demo_image/demo_3.png    	london                   	0.9840
demo_image/demo_4.png    	greenstead               	0.9985
demo_image/demo_5.png    	toast                    	0.9961
demo_image/demo_6.png    	merry                    	0.9975
demo_image/demo_7.png    	underground              	1.0000
demo_image/demo_8.jpg    	ronaldo                  	0.8387
demo_image/demo_9.jpg    	bally                    	0.7566
demo_image/demo_10.jpg   	university               	0.9998
demo_image/seg000001.jpg 	her                      	0.0870
demo_image/seg000002.jpg 	eles                     	0.0059
demo_image/seg000003.jpg 	substering               	0.0000
demo_image/seg000006.jpg 	lied                     	0.0143
demo_image/seg000007.jpg 	bbb                      	0.3884
demo_image/seg000008.jpg 	states                   	0.0006
demo_image/seg000011.jpg 	ed199                    	0.0376
demo_image/seg000013.jpg 	and                      	0.1098
demo_image/seg000016.jpg 	apr                      	0.0225
demo_image/seg000018.jpg 	doondo                   	0.0119
demo_image/seg000019.jpg 	berset                   	0.0067
demo_image/seg000021.jpg 	dislow                   	0.0286
demo_image/seg000022.jpg 	sure                     	0.0083
demo_image/seg000024.jpg 	estraphers               	0.0000
demo_image/seg000028.jpg 	manalas                  	0.0002
demo_image/seg000031.jpg 	bad                      	0.0441
demo_image/seg000032.jpg 	bees                     	0.0123
demo_image/seg000056.jpg 	spucally                 	0.0004
demo_image/seg000060.jpg 	extrications             	0.0001
demo_image/seg000066.jpg 	and                      	0.0515
demo_image/seg000069.jpg 	sellencess               	0.0000
